Player,Pos,Tm,Opp,Pred Pts,DK Salary,Pts/$
Alshon Jeffery,WR,CHI,MIN,16.36202524,7500,2.181603365
Matthew Stafford,QB,DET,GB,16.27094449,6800,2.392785954
Randall Cobb,WR,GB,DET,16.17144335,7300,2.215266212
Tom Brady,QB,NE,BUF,16.1560091,7800,2.071283218
Marshawn Lynch,RB,SEA,STL,15.84732638,7300,2.170866627
Kyle Orton,QB,BUF,NE,15.84046594,5900,2.684824735
T.Y. Hilton,WR,IND,TEN,15.67327646,7400,2.118010332
Mike Wallace,WR,MIA,NYJ,15.25055537,5600,2.723313459
Colin Kaepernick,QB,SF,ARI,15.09181773,6300,2.395526624
Jonathan Stewart,RB,CAR,ATL,15.04635295,5700,2.639711043
Jay Cutler,QB,CHI,MIN,14.7680451,7400,1.995681771
Philip Rivers,QB,SD,KC,14.6036579,7300,2.000501082
DeAndre Hopkins,WR,HOU,JAC,14.49463326,5900,2.456717502
Vincent Jackson,WR,TB,NO,14.4171661,5500,2.621302927
Jarvis Landry,WR,MIA,NYJ,14.22639866,5400,2.63451827
Kelvin Benjamin,WR,CAR,ATL,14.13961281,6200,2.280582712
Doug Baldwin,WR,SEA,STL,13.95967449,4800,2.908265519
Matt Asiata,RB,MIN,CHI,13.94923109,5000,2.789846218
Josh McCown,QB,TB,NO,13.93657204,5200,2.680110008
Joe Flacco,QB,BAL,CLE,13.88247211,6200,2.239108405
Greg Jennings,WR,MIN,CHI,13.8121612,4300,3.212130512
Justin Forsett,RB,BAL,CLE,13.73681183,6200,2.215614811
Harry Douglas,WR,ATL,CAR,13.72036863,5000,2.744073726
Rob Gronkowski,TE,NE,BUF,13.66701057,7400,1.84689332
Lamar Miller,RB,MIA,NYJ,13.56994179,5000,2.713988358
Arian Foster,RB,HOU,JAC,13.49583591,7900,1.708333659
LeSean McCoy,RB,PHI,NYG,13.49414384,6700,2.014051319
Derek Carr,QB,OAK,DEN,13.41745086,5300,2.531594501
Jarius Wright,WR,MIN,CHI,13.37908317,3300,4.054267629
Jeremy Maclin,WR,PHI,NYG,13.05312555,6100,2.139856647
Coby Fleener,TE,IND,TEN,12.91026665,4700,2.746865244
Jamaal Charles,RB,KC,SD,12.84027972,7600,1.68951049
Mike Evans,WR,TB,NO,12.56064867,6100,2.059122733
Julian Edelman,WR,NE,BUF,12.41119864,6500,1.909415175
Shaun Hill,QB,STL,SEA,12.00078238,5200,2.307842765
Charles Johnson,WR,MIN,CHI,11.97791307,4600,2.603894146
Blake Bortles,QB,JAC,HOU,11.93676956,5000,2.387353913
Antonio Gates,TE,SD,KC,11.8508579,5900,2.008619983
Ryan Fitzpatrick,QB,HOU,JAC,11.7993516,,
Torrey Smith,WR,BAL,CLE,11.47113705,5300,2.164365481
Mark Ingram,RB,NO,TB,11.46011599,6500,1.763094768
Geno Smith,QB,NYJ,MIA,11.43409929,5000,2.286819858
Rueben Randle,WR,NYG,PHI,11.41613916,4800,2.378362325
Andre Williams,RB,NYG,PHI,11.38623899,4800,2.372133123
Eric Decker,WR,NYJ,MIA,11.34916831,4800,2.364410065
Josh Gordon,WR,CLE,BAL,11.29792252,5900,1.914902123
Jason Witten,TE,DAL,WAS,11.29324085,5000,2.258648171
Fred Jackson,RB,BUF,NE,11.14017782,5900,1.888165733
Brandon LaFell,WR,NE,BUF,11.02719853,5700,1.934596233
Tre Mason,RB,STL,SEA,10.91787813,4500,2.426195141
Alfred Morris,RB,WAS,DAL,10.89227097,4600,2.367884994
Anquan Boldin,WR,SF,ARI,10.77911346,5400,1.996132123
Keenan Allen,WR,SD,KC,10.74596169,5700,1.885256437
Greg Olsen,TE,CAR,ATL,10.68727299,5600,1.908441605
Jordan Matthews,WR,PHI,NYG,10.66654942,4600,2.318815091
Marqise Lee,WR,JAC,HOU,10.60930837,4200,2.526025803
Drew Stanton,QB,ARI,SF,10.58207475,5000,2.11641495
James Jones,WR,OAK,DEN,10.47816565,3500,2.993761614
Martellus Bennett,TE,CHI,MIN,10.45172189,5300,1.972022998
Nate Washington,WR,TEN,IND,10.38219693,4300,2.414464402
Golden Tate,WR,DET,GB,10.32398942,6000,1.720664904
Zach Ertz,TE,PHI,NYG,10.3006993,5100,2.01974496
Steve Smith,WR,BAL,CLE,10.11947444,4200,2.409398677
Roddy White,WR,ATL,CAR,10.11911977,6300,1.606209487
Charlie Whitehurst,QB,TEN,IND,10.05086768,5300,1.896390128
Percy Harvin,WR,NYJ,MIA,9.937658858,4400,2.258558831
Robert Woods,WR,BUF,NE,9.897672848,4400,2.249471102
Eddie Royal,WR,SD,KC,9.847841808,5500,1.790516692
Heath Miller,TE,PIT,CIN,9.738314984,4500,2.164069996
Cole Beasley,WR,DAL,WAS,9.644227081,3500,2.755493452
Jimmy Graham,TE,NO,TB,9.552794656,6700,1.425790247
Frank Gore,RB,SF,ARI,9.547850295,4500,2.12174451
Stedman Bailey,WR,STL,SEA,9.540336603,4200,2.271508715
Malcom Floyd,WR,SD,KC,9.466966247,4600,2.058036141
Kendall Wright,WR,TEN,IND,9.406869972,5200,1.809013456
Robert Griffin,QB,WAS,DAL,9.367987025,5700,1.643506496
Dan Herron,RB,IND,TEN,9.367819014,4200,2.230433099
Jermaine Gresham,TE,CIN,PIT,9.316191014,3200,2.911309692
Allen Hurns,WR,JAC,HOU,9.298870419,3400,2.734961888
Brian Hoyer,QB,CLE,BAL,9.280777115,5200,1.78476483
Delanie Walker,TE,TEN,IND,9.269287667,4400,2.106656288
Latavius Murray,RB,OAK,DEN,9.243680447,5000,1.848736089
Mychal Rivera,TE,OAK,DEN,9.223006204,3300,2.794850365
Charles Clay,TE,MIA,NYJ,9.218654623,4300,2.143873168
Sammy Watkins,WR,BUF,NE,9.066282772,5400,1.678941254
Martavis Bryant,WR,PIT,CIN,9.065568389,3900,2.324504715
Giovani Bernard,RB,CIN,PIT,8.996726001,4800,1.874317917
